"pack","used","x","y"
"Red Deer",1,591620,5732570
"Red Deer",1,568917,5711084
"Red Deer",1,568917,5711084
"Red Deer",1,568917,5711084
"Red Deer",1,568930,5700560
"Red Deer",1,568930,5700560
"Red Deer",1,568930,5700560
"Red Deer",1,582877,5725542
"Red Deer",1,582877,5725542
"Red Deer",1,585060,5740190
"Red Deer",1,585060,5740190
"Red Deer",1,555853,5706978
"Red Deer",1,555853,5706978
"Red Deer",1,587119,5724053
"Red Deer",1,587119,5724053
"Red Deer",1,605389,5720587
"Red Deer",1,605389,5720587
"Red Deer",1,564800,5690850
"Red Deer",1,564800,5690850
"Red Deer",1,559250,5696800
"Red Deer",1,559250,5696800
"Red Deer",1,559250,5696800
"Red Deer",1,562700,5693100
"Red Deer",1,562700,5693100
"Red Deer",1,561950,5693400
"Red Deer",1,561950,5693400
"Red Deer",1,587160,5721390
"Red Deer",0,552621.918835707,5716924.44895299
"Red Deer",0,583920.870767096,5743888.72948731
"Red Deer",0,579469.452391599,5747358.71087424
"Red Deer",0,584375.688149404,5721463.49208818
"Red Deer",0,584151.526986513,5745675.85909706
"Red Deer",0,566137.576416166,5685124.69229976
"Red Deer",0,562026.333902664,5685306.45646765
"Red Deer",0,554315.939058589,5689012.07853984
"Red Deer",0,592368.814880413,5714408.5551996
"Red Deer",0,598384.024843851,5723847.26486231
"Red Deer",0,585852.278743727,5738461.18094944
"Red Deer",0,553988.628522172,5725365.85612368
"Red Deer",0,580091.216359188,5744625.4005373
"Red Deer",0,567204.442423931,5689466.69842975
"Red Deer",0,550894.674970016,5710590.18321911
"Red Deer",0,599100.789561481,5722197.55694793
"Red Deer",0,553324.957159253,5706097.85576368
"Red Deer",0,584562.778422932,5714427.47831303
"Red Deer",0,574365.654544412,5691823.14707783
"Red Deer",0,570834.822359924,5693642.03704338
"Red Deer",0,561616.448792589,5705576.13147049
"Red Deer",0,577462.805439389,5720379.96594337
"Red Deer",0,573510.676966315,5745939.46624812
"Red Deer",0,606733.639589037,5716684.47944693
"Red Deer",0,569448.832135283,5687299.28387174
"Red Deer",0,578946.607208971,5700785.76338896
"Red Deer",0,576297.913789486,5696610.28166256
"Red Deer",0,570632.979268626,5702850.67276162
"Red Deer",0,571225.228423564,5693758.91689597
"Red Deer",0,568036.65583763,5715884.01019782
"Red Deer",0,593760.068407577,5740585.04877577
"Red Deer",0,590674.396835736,5726320.44718093
"Red Deer",0,553406.519697846,5715104.64013109
"Red Deer",0,552504.263985854,5709380.52082097
"Red Deer",0,555821.224496546,5712317.04586185
"Red Deer",0,596346.742711443,5720129.79318091
"Red Deer",0,566411.332052875,5685327.17822317
"Red Deer",0,579684.672235033,5725420.96185434
"Red Deer",0,552940.322238934,5725986.94056632
"Red Deer",0,601563.259731953,5720079.84483433
"Red Deer",0,559709.250314963,5709456.44303187
"Red Deer",0,591923.41467521,5713504.74445035
"Red Deer",0,595315.479437201,5733252.70962943
"Red Deer",0,584799.968640831,5714532.77592785
"Red Deer",0,580979.467385686,5709113.93623834
"Red Deer",0,569452.968673628,5691427.29728833
"Red Deer",0,594796.970774986,5729913.30913479
"Red Deer",0,578498.668285975,5726414.13980462
"Red Deer",0,570726.771921563,5731680.4614761
"Red Deer",0,578054.826822623,5712760.12465167
"Red Deer",0,571052.153273737,5723584.65185879
"Red Deer",0,575713.079848645,5703228.83940908
"Red Deer",0,554203.706788877,5713451.64132761
"Red Deer",0,570342.856933647,5732443.80999036
"Red Deer",0,558422.668149141,5707390.85782367
"Red Deer",0,566918.194441418,5710281.17925261
"Red Deer",0,591155.099056861,5715840.06120321
"Red Deer",0,602199.827523221,5724323.91220235
"Red Deer",0,551241.425534942,5708171.49017669
"Red Deer",0,581559.038844475,5733842.2319194
"Red Deer",0,567703.319173918,5741728.07087319
"Red Deer",0,547615.125099408,5712627.78277856
"Red Deer",0,581534.631399386,5747469.41423385
"Red Deer",0,555394.560538562,5709916.0897364
"Red Deer",0,574951.422575628,5739563.00860122
"Red Deer",0,557983.498824183,5706547.47856082
"Red Deer",0,568533.871682006,5733428.84957026
"Red Deer",0,590105.41287913,5716090.29474044
"Red Deer",0,594183.759573337,5740433.61407085
"Red Deer",0,560468.841111687,5706629.99124099
"Red Deer",0,589324.47172528,5711951.81847883
"Red Deer",0,578065.336076239,5708429.6599193
"Red Deer",0,550507.087708458,5699245.88723842
"Red Deer",0,598622.110346911,5736384.08085525
"Red Deer",0,576326.376181696,5700643.99827809
"Red Deer",0,576217.089811012,5707936.57703485
"Red Deer",0,555854.016663079,5716798.61306579
"Red Deer",0,570040.711805043,5723671.52665198
"Red Deer",0,601159.018242826,5731014.66407125
"Red Deer",0,592248.769164575,5715247.04574953
"Red Deer",0,573337.939257737,5743635.60702638
"Red Deer",0,570065.591734734,5725195.52141884
"Red Deer",0,584183.481437557,5705062.65228327
"Red Deer",0,565590.972233568,5683343.33120432
"Red Deer",0,555720.877743602,5716216.60113497
"Red Deer",0,578412.556649162,5709434.43257237
"Red Deer",0,556826.166259383,5688740.343479
"Red Deer",0,602416.091734331,5716028.23143331
"Red Deer",0,553149.21086163,5724636.18734256
"Red Deer",0,581264.803916731,5715047.96549984
"Red Deer",0,567332.481025814,5696527.51490594
"Red Deer",0,576969.394921608,5699743.42851091
"Red Deer",0,577410.432184212,5724209.01635412
"Red Deer",0,572586.124894807,5702519.93134449
"Red Deer",0,570250.609819065,5719368.03646152
"Red Deer",0,581310.917681555,5735768.90677126
"Red Deer",0,563431.091552399,5726062.04641273
"Red Deer",0,574646.730919568,5736679.88253924
"Red Deer",0,580758.866319898,5712770.74835175
"Red Deer",0,567085.858953507,5722080.68692954
"Red Deer",0,587305.958932398,5745149.32620529
"Red Deer",0,571727.249368123,5741560.19609825
"Red Deer",0,604530.212486138,5713775.10630819
"Red Deer",0,571504.968829781,5691727.51398336
"Red Deer",0,557322.135520513,5715683.45984374
"Red Deer",0,548712.175925082,5698319.53808306
"Red Deer",0,571091.259370354,5724794.20720815
"Red Deer",0,584181.727180645,5741988.88359037
"Red Deer",0,575006.46732806,5724061.50920927
"Red Deer",0,557222.202178301,5705151.50964015
"Red Deer",0,586737.813496556,5746951.28506381
"Red Deer",0,569680.203197145,5689340.59266559
"Red Deer",0,580601.944819523,5727787.8697614
"Red Deer",0,557835.390239645,5690818.02174002
"Red Deer",0,572491.143486595,5711898.46008951
"Red Deer",0,574975.507363129,5724570.06390147
"Red Deer",0,568208.484282661,5716257.12284566
"Red Deer",0,589175.232593285,5730962.33205686
"Red Deer",0,561804.387614854,5688116.01446825
"Red Deer",0,549846.475515066,5718268.092358
"Red Deer",0,592214.494848625,5708822.54067076
"Red Deer",0,588487.917293774,5713735.77284536
"Red Deer",0,575944.382112544,5747533.26731976
"Red Deer",0,566853.924805836,5738695.67958257
"Red Deer",0,563064.31284881,5711795.29189378
"Red Deer",0,588974.70201155,5733313.33156748
"Red Deer",0,572991.05451551,5688577.14275563
"Red Deer",0,553816.130406149,5692142.62471011
"Red Deer",0,572953.233351534,5696309.77800598
"Red Deer",0,556782.822964856,5723716.0161835
"Red Deer",0,587110.247550782,5735337.99944171
"Red Deer",0,563605.698110257,5704656.13504086
"Red Deer",0,574207.730413995,5708589.78004588
